This is the complete list of games supported by PinMAME 3.6.0.1223 [MAME 0.76] (Jan 24 2025).

This list is generated automatically and is not 100% accurate (particularly in
the Screen Flip column). Please let us know of any errors so we can correct
them.

Here are the meanings of the columns:

Working
=======
  NO: Emulation is still in progress; the game does not work correctly. This
  means anything from major problems to a black screen.

Correct Colors
==============
    YES: Colors should be identical to the original.
  CLOSE: Colors are nearly correct.
     NO: Colors are completely wrong. 
  
  Note: In some cases, the color PROMs for some games are not yet available.
  This causes a NO GOOD DUMP KNOWN message on startup (and, of course, the game
  has wrong colors). The game will still say YES in this column, however,
  because the code to handle the color PROMs has been added to the driver. When
  the PROMs are available, the colors will be correct.

Sound
=====
  PARTIAL: Sound support is incomplete or not entirely accurate. 

  Note: Some original games contain analog sound circuitry, which is difficult
  to emulate. Therefore, these emulated sounds may be significantly different.

Screen Flip
===========
  Many games were offered in cocktail-table models, allowing two players to sit
  across from each other; the game's image flips 180 degrees for each player's
  turn. Some games also have a "Flip Screen" DIP switch setting to turn the
  picture (particularly useful with vertical games).
  In many cases, this feature has not yet been emulated.

Internal Name
=============
  This is the unique name that must be used when running the game from a
  command line.

  Note: Each game's ROM set must be placed in the ROM path, either in a .zip
  file or in a subdirectory with the game's Internal Name. The former is
  suggested, because the files will be identified by their CRC instead of
  requiring specific names.

+----------------------------------+-------+-------+-------+-------+----------+
|                                  |       |Correct|       |Screen | Internal |
| Game Name                        |Working|Colors | Sound | Flip  |   Name   |
+----------------------------------+-------+-------+-------+-------+----------+
| (Pinball) Lizard (Pinball) Lizard|  Yes  |  Yes  | Yes(2)|  Yes  | lizard   |
| 24 (V1.44)                       |  Yes  |  Yes  |  Yes  |  Yes  | twenty4_144 |
| 24 (V1.4)                        |  Yes  |  Yes  |  Yes  |  Yes  | twenty4_140 |
| 24 (V1.5)                        |  Yes  |  Yes  |  Yes  |  Yes  | twenty4_150 |
| 24 (V1.3)                        |  Yes  |  Yes  |  Yes  |  Yes  | twenty4_130 |
| 250 c.c.                         |  Yes  |  Yes  |  Yes  |  Yes  | ind250cc |
| 301/Bullseye (Normal pinball scor|  Yes  |  Yes  |  Yes  |  Yes  | bullsen2 |
| 301/Bullseye (MOD rev. 12)       |  Yes  |  Yes  |  Yes  |  Yes  | bullsey2 |
| 301/Bullseye (Normal pinball scor|  Yes  |  Yes  |  Yes  |  Yes  | bullseyn |
| 301/Bullseye                     |  Yes  |  Yes  |  Yes  |  Yes  | bullseye |
| 4x4 (Prototype)                  |   No  |  Yes  |  Yes  |  Yes  | fourx4   |
| A.G. Football (R18u, 2.1 Sound)  |  Yes  |  Yes  |  Yes  |  Yes  | agfootbl |
| A.G. Football (R07u)             |  Yes  |  Yes  |  Yes  |  Yes  | agfoot07 |
| A.G. Football (R18u, 2.5L Sound) |  Yes  |  Yes  |  Yes  |  Yes  | agfootbl25l |
| A.G. Soccer-Ball (R18u, 2.5L Soun|  Yes  |  Yes  |  Yes  |  Yes  | agsoccer25l |
| A.G. Soccer-Ball (R18u, 2.1 Sound|  Yes  |  Yes  |  Yes  |  Yes  | agsoccer |
| A.G. Soccer-Ball (R07u)          |  Yes  |  Yes  |  Yes  |  Yes  | agsocc07 |
| AC/DC (V1.68)                    |  Yes  |  Yes  |  Yes  |  Yes  | acd_168  |
| AC/DC (V1.70.0)                  |  Yes  |  Yes  |  Yes  |  Yes  | acd_170  |
| AC/DC (V1.61)                    |  Yes  |  Yes  |  Yes  |  Yes  | acd_161  |
| AC/DC (V1.65)                    |  Yes  |  Yes  |  Yes  |  Yes  | acd_165  |
| AC/DC (V1.68) (Colored MOD)      |  Yes  |  Yes  |  Yes  |  Yes  | acd_168c |
| AC/DC (V1.70.0) (Colored MOD)    |  Yes  |  Yes  |  Yes  |  Yes  | acd_170c |
| AC/DC (V1.4)                     |  Yes  |  Yes  |  Yes  |  Yes  | acd_140  |
| AC/DC (V1.5)                     |  Yes  |  Yes  |  Yes  |  Yes  | acd_150  |
| AC/DC (V1.25)                    |  Yes  |  Yes  |  Yes  |  Yes  | acd_125  |
| AC/DC (V1.6)                     |  Yes  |  Yes  |  Yes  |  Yes  | acd_160  |
| AC/DC (V1.63)                    |  Yes  |  Yes  |  Yes  |  Yes  | acd_163  |
| AC/DC (V1.52)                    |  Yes  |  Yes  |  Yes  |  Yes  | acd_152  |
| AC/DC (V1.21)                    |  Yes  |  Yes  |  Yes  |  Yes  | acd_121  |
| AC/DC (V1.3)                     |  Yes  |  Yes  |  Yes  |  Yes  | acd_130  |
| AC/DC Limited Edition (V1.61)    |  Yes  |  Yes  |  Yes  |  Yes  | acd_161h |
| AC/DC Limited Edition (V1.70.0)  |  Yes  |  Yes  |  Yes  |  Yes  | acd_170h |
| AC/DC Limited Edition (V1.68) (Co|  Yes  |  Yes  |  Yes  |  Yes  | acd_168hc |
| AC/DC Limited Edition (V1.70.0) (|  Yes  |  Yes  |  Yes  |  Yes  | acd_170hc |
| AC/DC Limited Edition (V1.68)    |  Yes  |  Yes  |  Yes  |  Yes  | acd_168h |
| AC/DC Limited Edition (V1.5)     |  Yes  |  Yes  |  Yes  |  Yes  | acd_150h |
| AC/DC Limited Edition (V1.6)     |  Yes  |  Yes  |  Yes  |  Yes  | acd_160h |
| AC/DC Limited Edition (V1.65)    |  Yes  |  Yes  |  Yes  |  Yes  | acd_165h |
| AC/DC Limited Edition (V1.63)    |  Yes  |  Yes  |  Yes  |  Yes  | acd_163h |
| AC/DC Limited Edition (V1.52)    |  Yes  |  Yes  |  Yes  |  Yes  | acd_152h |
| Aaron Spelling (1.01)            |  Yes  |  Yes  |  Yes  |  Yes  | aar_101  |
| Addams Family Special Collectors |  Yes  |  Yes  | Yes(2)|  Yes  | tafg_lx3 |
| Addams Family Special Collectors |  Yes  |  Yes  | Yes(2)|  Yes  | tafg_dx3 |
| Addams Family Special Collectors |  Yes  |  Yes  | Yes(2)|  Yes  | tafg_i3  |
| Addams Family Special Collectors |  Yes  |  Yes  | Yes(2)|  Yes  | tafg_la3 |
| Addams Family Special Collectors |  Yes  |  Yes  | Yes(2)|  Yes  | tafg_la2 |
| Addams Family Special Collectors |  Yes  |  Yes  | Yes(2)|  Yes  | tafg_h3  |
| Addams Family Special Collectors |  Yes  |  Yes  | Yes(2)|  Yes  | tafg_da2 |
| Addams Family Special Collectors |  Yes  |  Yes  | Yes(2)|  Yes  | tafg_da3 |
| Addams Family Values (Coin Droppe|  Yes  |  Yes  | Yes(2)|  Yes  | afv_l4   |
| Addams Family Values (Coin Droppe|  Yes  |  Yes  | Yes(2)|  Yes  | afv_d4   |
| Addams Family, The (L-2)         |  Yes  |  Yes  | Yes(2)|  Yes  | taf_l2   |
| Addams Family, The (D-6 LED Ghost|  Yes  |  Yes  | Yes(2)|  Yes  | taf_d6   |
| Addams Family, The (D-3 LED Ghost|  Yes  |  Yes  | Yes(2)|  Yes  | taf_d3   |
| Addams Family, The (L-6)         |  Yes  |  Yes  | Yes(2)|  Yes  | taf_l6   |
| Addams Family, The (H-4)         |  Yes  |  Yes  | Yes(2)|  Yes  | taf_h4   |
| Addams Family, The (D-1 LED Ghost|  Yes  |  Yes  | Yes(2)|  Yes  | taf_d1   |
| Addams Family, The (I-4 LED Ghost|  Yes  |  Yes  | Yes(2)|  Yes  | taf_i4   |
| Addams Family, The (L-3)         |  Yes  |  Yes  | Yes(2)|  Yes  | taf_l3   |
| Addams Family, The (L-5 Prototype|  Yes  |  Yes  | Yes(2)|  Yes  | taf_l7   |
| Addams Family, The (L-1)         |  Yes  |  Yes  | Yes(2)|  Yes  | taf_l1   |
| Addams Family, The (L-5C Competit|  Yes  |  Yes  | Yes(2)|  Yes  | taf_l5c  |
| Addams Family, The (D-5 LED Ghost|  Yes  |  Yes  | Yes(2)|  Yes  | taf_d5   |
| Addams Family, The (L-5)         |  Yes  |  Yes  | Yes(2)|  Yes  | taf_l5   |
| Addams Family, The (L-4)         |  Yes  |  Yes  | Yes(2)|  Yes  | taf_l4   |
| Addams Family, The (P-3 Prototype|  Yes  |  Yes  | Yes(2)|  Yes  | taf_p3   |
| Addams Family, The (P-2 Prototype|  Yes  |  Yes  | Yes(2)|  Yes  | taf_p2   |
| Addams Family, The (D-2 LED Ghost|  Yes  |  Yes  | Yes(2)|  Yes  | taf_d2   |
| Addams Family, The (L-5 Prototype|  Yes  |  Yes  | Yes(2)|  Yes  | taf_d7   |
| Addams Family, The (D-4 LED Ghost|  Yes  |  Yes  | Yes(2)|  Yes  | taf_d4   |
| Adventures of Rocky and Bullwinkl|  Yes  |  Yes  |  Yes  |  Yes  | rab_320  |
| Adventures of Rocky and Bullwinkl|  Yes  |  Yes  |  Yes  |  Yes  | rab_103  |
| Adventures of Rocky and Bullwinkl|  Yes  |  Yes  |  Yes  |  Yes  | rab_130  |
| Af-Tor                           |  Yes  |  Yes  |  Yes  |  Yes  | aftor    |
| Agents 777                       |  Yes  |  Yes  | Yes(2)|  Yes  | agent777 |
| Airborne (Redemption 1.6)        |  Yes  |  Yes  |  Yes  |  Yes  | abv106r  |
| Airborne (1.5)                   |  Yes  |  Yes  |  Yes  |  Yes  | abv105   |
| Airborne (1.6)                   |  Yes  |  Yes  |  Yes  |  Yes  | abv106   |
| Airborne Avenger                 |  Yes  |  Yes  |  Yes  |  Yes  | aavenger |
| Airborne Avenger (Free Play)     |  Yes  |  Yes  |  Yes  |  Yes  | aavengef |
| Al Capone                        |  Yes  |  Yes  |  Yes  |  Yes  | alcapone |
| Al's Garage Band Goes On a World |  Yes  |  Yes  |  Yes  |  Yes  | wrldtou2 |
| Al's Garage Band Goes On a World |  Yes  |  Yes  |  Yes  |  Yes  | wrldtour |
| Al's Garage Band Goes On a World |  Yes  |  Yes  |  Yes  |  Yes  | wrldtou3 |
| Algar (L-1 Free Play Fix)        |  Yes  |  Yes  | Yes(2)|  Yes  | algar_l1ff |
| Algar (L-1)                      |  Yes  |  Yes  | Yes(2)|  Yes  | algar_l1 |
| Ali (7-digit conversion Free Play|  Yes  |  Yes  | Yes(2)|  Yes  | alib     |
| Ali                              |  Yes  |  Yes  | Yes(2)|  Yes  | ali      |
| Ali (7-digit conversion Free Play|  Yes  |  Yes  | Yes(2)|  Yes  | alic     |
| Ali (Free Play)                  |  Yes  |  Yes  | Yes(2)|  Yes  | alifp    |
| Alien Poker (L-6)                |  Yes  |  Yes  | Yes(2)|  Yes  | alpok_l6 |
| Alien Poker (L-6, French Speech, |  Yes  |  Yes  | Yes(2)|  Yes  | alpok_f6ff |
| Alien Poker (L-6 Free Play Fix)  |  Yes  |  Yes  | Yes(2)|  Yes  | alpok_l6ff |
| Alien Poker (L-2)                |  Yes  |  Yes  | Yes(2)|  Yes  | alpok_l2 |
| Alien Poker (L-6, Multiball conve|  Yes  |  Yes  | Yes(2)|  Yes  | alpok_b6 |
| Alien Poker (L-6, French Speech) |  Yes  |  Yes  | Yes(2)|  Yes  | alpok_f6 |
| Alien Poker (L-2 Free Play Fix)  |  Yes  |  Yes  | Yes(2)|  Yes  | alpok_l2ff |
| Alien Star                       |  Yes  |  Yes  | Yes(2)|  Yes  | alienstr |
| Alien Warrior                    |  Yes  |  Yes  |  Yes  |  Yes  | alienwar |
| Alley Cats (Shuffle) (L-7)       |  Yes  |  Yes  | Yes(2)|  Yes  | alcat_l7 |
| Amazing Spider-Man, The (7-digit |  Yes  |  Yes  | Yes(2)|  Yes  | spiderm7 |
| Amazing Spider-Man, The          |  Yes  |  Yes  | Yes(2)|  Yes  | spidermn |
| Amazon Hunt                      |  Yes  |  Yes  | Yes(2)|  Yes  | amazonh  |
| Amazon Hunt (alternate set)      |  Yes  |  Yes  | Yes(2)|  Yes  | amazonha |
| Amazon Hunt II (French Free Play)|  Yes  |  Yes  | Yes(2)|  Yes  | amazn2fp |
| Amazon Hunt II (French)          |  Yes  |  Yes  | Yes(2)|  Yes  | amazonh2 |
| Amazon Hunt III (rev. 1 French Fr|  Yes  |  Yes  | Yes(2)|  Yes  | amaz3afp |
| Amazon Hunt III (rev. 1)         |  Yes  |  Yes  | Yes(2)|  Yes  | amazon3a |
| Amazon Hunt III (French Free Play|  Yes  |  Yes  | Yes(2)|  Yes  | amazn3fp |
| Amazon Hunt III (French)         |  Yes  |  Yes  | Yes(2)|  Yes  | amazonh3 |
| America 1492                     |  Yes  |  Yes  |  Yes  |  Yes  | america  |
| American Country (AC/DC MOD)     |  Yes  |  Yes  |  Yes  |  Yes  | acd_170_ac |
| Andromeda (alternate set)        |  Yes  |  Yes  | Yes(2)|  Yes  | andromea |
| Andromeda                        |  Yes  |  Yes  | Yes(2)|  Yes  | andromed |
| Antar (alternate set)            |  Yes  |  Yes  |  Yes  |  Yes  | antar2   |
| Antar                            |  Yes  |  Yes  |  Yes  |  Yes  | antar    |
| Apollo 13 (5.01, Display 5.00)   |  Yes  |  Yes  |  Yes  |  Yes  | apollo13 |
| Apollo 13 (5.01, Display 4.01)   |  Yes  |  Yes  |  Yes  |  Yes  | apollo14 |
| Apollo 13 (1.00)                 |  Yes  |  Yes  |  Yes  |  Yes  | apollo1  |
| Apollo 13 (2.03)                 |  Yes  |  Yes  |  Yes  |  Yes  | apollo2  |
| Aqualand                         |  Yes  |  Yes  |  Yes  |  Yes  | aqualand |
| Aqualand (alternate set)         |  Yes  |  Yes  |  Yes  |  Yes  | aqualana |
| Arena (French Free Play)         |  Yes  |  Yes  | Yes(2)|  Yes  | arenaffp |
| Arena (Free Play)                |  Yes  |  Yes  | Yes(2)|  Yes  | arena_fp |
| Arena                            |  Yes  |  Yes  | Yes(2)|  Yes  | arena    |
| Arena (rev. 1 Free Play)         |  Yes  |  Yes  | Yes(2)|  Yes  | arenaafp |
| Arena (German)                   |  Yes  |  Yes  | Yes(2)|  Yes  | arenag   |
| Arena (German Free Play)         |  Yes  |  Yes  | Yes(2)|  Yes  | arenagfp |
| Arena (French)                   |  Yes  |  Yes  | Yes(2)|  Yes  | arenaf   |
| Arena (rev. 1)                   |  Yes  |  Yes  | Yes(2)|  Yes  | arenaa   |
| Aristocrat (Shuffle) (L-1)       |  Yes  |  Yes  | Yes(2)|  Yes  | arist_l1 |
| Arizona                          |  Yes  |  Yes  |  Yes  |  Yes  | arizona  |
